,,,,何旭东定价,王红霞定价,定价差额
1,布鞋_网鞋,纯黑_深色,清洗,8.8,8.8,0
1,布鞋_网鞋,纯黑_深色_白边,清洗,12.8,12.8,0
1,布鞋_网鞋,纯白_浅色_拼色,清洗,19.8,15,4.8
1,皮鞋,,清洗,18.8,15,3.8
1,磨砂鞋,,清洗,24.8,19.8,5
1,靴子,布面_短_,清洗,16.8,16.8,0
1,靴子,布面_中_,清洗,21.8,19.8,2
1,靴子,布面_高_,清洗,26.8,25,1.8
1,靴子,皮面_短_,清洗,19.8,16.8,3
1,靴子,皮面_中_,清洗,24.8,19.8,5
1,靴子,皮面_高_,清洗,29.8,25,4.8
1,靴子,磨砂面_短_,清洗,25.8,22.8,3
1,靴子,磨砂面_中_,清洗,30.8,26.8,4
1,靴子,磨砂面_高_,清洗,35.8,29.8,6
1,高跟鞋,皮面,清洗,18.8,16.8,2
1,高跟鞋,磨砂面,清洗,24.8,19.8,5
1,凉鞋,布,清洗,15.8,12.8,3
1,凉鞋,皮面,清洗,16.8,12.8,4
1,凉鞋,磨砂面,清洗,24.8,16.8,8
2,背心,普通,清洗,12.8,12.8,0
2,背心,羊毛,清洗,16.8,16.8,0
2,短袖_衬衣短袖_马甲,普通,清洗,15.8,13.8,2
2,短袖_衬衣短袖_马甲,羊毛_亚麻_真丝,清洗,19.8,16.8,3
2,衬衣长袖,普通,清洗,16.8,15,1.8
2,衬衣长袖,羊毛_亚麻_真丝,清洗,22.8,18,4.8
2,T恤_卫衣_,普通,清洗,16.8,15,1.8
2,T恤_卫衣_,厚_加绒,清洗,22.8,18,4.8
2,T恤_卫衣_,真丝_亚麻_羊毛_羊毛衫_,清洗,22.8,19.8,3
2,西装外套,普通,清洗,24.8,19.8,5
2,西装外套,羊毛_亚麻_真丝,清洗,29.8,26.8,3
2,风衣,中,清洗,29.8,25,4.8
2,风衣,长,清洗,35.8,29.8,6
2,羽绒服皮草,A,清洗,128.8,88,40.8
2,羽绒服皮草,B,清洗,168.8,108,60.8
2,羽绒服皮草,C,清洗,198.8,128,70.8
2,羽绒马甲_儿童羽绒服,,清洗,29.8,18,11.8
2,外套,休闲_牛仔_运动,清洗,24.8,19.8,5
2,外套,加厚_加绒,清洗,29.8,25,4.8
2,外套,亚麻_羊毛_真丝_小香风,清洗,29.8,26.8,3
2,棉服_毛呢_羽绒服,短,清洗,29.8,24.8,5
2,棉服_毛呢_羽绒服,中,清洗,34.8,29.8,5
2,棉服_毛呢_羽绒服,长,清洗,39.8,35,4.8
2,毛呢羽绒服,,清洗,34.8,35,-0.2
2,内胆,聚酯纤维等,清洗,29.8,19.9,9.9
2,内胆,羽绒,清洗,99.8,29,70.8
2,内胆,皮草,清洗,198.8,99,99.8
2,皮草,聚酯纤维等,清洗保养,128.8,88,40.8
2,皮草,真皮,清洗保养,198.8,168,30.8
3,秋裤,普通,清洗,15.8,15,0.8
3,秋裤,羊毛,清洗,19.8,19.8,0
3,短裤,羊毛_亚麻_真丝,清洗,19.8,19.8,0
3,休闲裤_牛仔裤_运动裤,短,清洗,16.8,15,1.8
3,休闲裤_牛仔裤_运动裤,长,清洗,19.8,18,1.8
3,棉裤_羽绒裤_西裤,普通,清洗,19.8,19.8,0
3,棉裤_羽绒裤_西裤,羊毛_真丝_亚麻(西裤),清洗,24.8,24.8,0
3,睡衣裤子_上衣,普通,清洗,15.8,15,0.8
3,睡衣裤子_上衣,羊毛_亚麻_真丝,清洗,19.8,19.8,0
3,睡裙 ,普通,清洗,29.8,25,4.8
3,睡裙 ,羊毛_真丝,清洗,35.8,35,0.8
3,连衣长裙,普通,清洗,29.8,25,4.8
3,连衣长裙,羊毛_亚麻_真丝,清洗,39.8,35,4.8
3,半裙_短裙_,普通,清洗,16.8,15,1.8
3,半裙_短裙_,羊毛_亚麻_真丝,清洗,19.8,19.8,0
4,皮裤_皮衣,人造革_PU,清洗保养,49.8,38,11.8
4,皮裤_皮衣,真皮,清洗保养,99.8,78,21.8
