交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2025-09-01 10:42:35,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002411202509012674405204,`6zj480j_t1w26u,`oGwbL5DzItCwSPJVrQcGYfDdu3JA,`JSAPI,`SUCCESS,`ABC_CREDIT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 11:41:51,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002411202509018263946403,`6zvdb18_t1w4xl,`oGwbL5O_FBTl9622gKF8ZraYSiPA,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 12:37:23,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002412202509010062033664,`8679oxn_t1w7i4,`oGwbL5LkzeHawClZeaJJg94j93vI,`JSAPI,`SUCCESS,`OTHERS,`CNY,`24.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.13000,`0.54%,`24.00,`0.00,`
`2025-09-01 13:23:32,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002412202509013696472521,`6zvdb18_t1w9n2,`oGwbL5O_FBTl9622gKF8ZraYSiPA,`JSAPI,`SUCCESS,`OTHERS,`CNY,`8.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.04000,`0.54%,`8.00,`0.00,`
`2025-09-01 18:04:12,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002412202509013735614407,`8dbt5ib_t1wmmv,`oGwbL5Gh9_xfxaR4Gsq3k2pPX_uU,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 12:16:09,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002412202509014583885978,`7mon2xc_t1w6ir,`oGwbL5IZEq-8Op4CvUTNodRKdOB0,`JSAPI,`SUCCESS,`OTHERS,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.05000,`0.54%,`10.00,`0.00,`
`2025-09-01 11:45:33,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002412202509019009576583,`71cvc6c_t1w53p,`oGwbL5ENjFmjV7Y5jmTCRdXwR25k,`JSAPI,`SUCCESS,`OTHERS,`CNY,`18.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.10000,`0.54%,`18.00,`0.00,`
`2025-09-01 19:27:07,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002541202509010393304111,`63sbtaf_t1wqh1,`oGwbL5GxDPFm8a1j1b1UfiPWZlRw,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 17:49:17,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002541202509011584800091,`868edz5_t1wlxy,`oGwbL5GwbwrTv1dEYIm4WLaQYQy8,`JSAPI,`SUCCESS,`SXXH_DEBIT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 18:49:38,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002541202509011584800091,`868edz5_t1wlxy,`oGwbL5GwbwrTv1dEYIm4WLaQYQy8,`JSAPI,`REFUND,`SXXH_DEBIT,`CNY,`0.00,`0.00,`50301104572025090110347477124,`868edz5_t1woqp,`6.00,`0.00,`ORIGINAL,`SUCCESS,`快递发往-陕西省延安市,`,`-0.03000,`0.54%,`0.00,`6.00,`
`2025-09-01 18:32:52,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002541202509011993266278,`868edz5_t1wnyn,`oGwbL5GwbwrTv1dEYIm4WLaQYQy8,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 19:37:32,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002541202509017362351856,`659ksj0_t1wqyd,`oGwbL5G2_jpjBICYtJZSMIAYOb2U,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 21:33:06,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509010414307418,`8ofamon_t1wwaw,`oGwbL5GXYya4x_ykQYE7aoVBbsQU,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 20:37:57,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509012726295767,`68fw8co_t1wtr1,`oGwbL5NLnh8BJA4nywenb2QGItOw,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 20:53:37,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509012726295767,`68fw8co_t1wtr1,`oGwbL5NLnh8BJA4nywenb2QGItOw,`JSAPI,`REFUND,`OTHERS,`CNY,`0.00,`0.00,`50300704562025090140285115886,`68fw8co_t1wuhc,`6.00,`0.00,`ORIGINAL,`SUCCESS,`快递发往-陕西省延安市,`,`-0.03000,`0.54%,`0.00,`6.00,`
`2025-09-01 20:29:49,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509014671450179,`8679oxn_t1wtdg,`oGwbL5LkzeHawClZeaJJg94j93vI,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 18:35:51,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509015451864206,`7ch64yw_t1wo3k,`oGwbL5DPYZHy_J7wH8DGmjR4Ypns,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 19:36:18,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509016997629152,`8jrdvyk_t1wqwc,`oGwbL5HudJXb6ztDzUtEmpd41v1c,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 18:55:09,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002542202509017085823561,`6zv9ave_t1wozr,`oGwbL5Ik6N77gAnLvNFh1BXP3lqc,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 21:50:26,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509011693874864,`8po7uk0_t1wx3x,`oGwbL5I6ATu_7kwydZHQ5C9ePxWk,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 12:18:09,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509012216482064,`7659idh_t1w6m4,`oGwbL5CbzNOT0FUnEKswCheOjm-8,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 15:32:18,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509013421746289,`63sbtaf_t1wfln,`oGwbL5GxDPFm8a1j1b1UfiPWZlRw,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 21:42:04,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509014329963674,`6zvdb18_t1wwpw,`oGwbL5O_FBTl9622gKF8ZraYSiPA,`JSAPI,`SUCCESS,`CIB_CREDIT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 20:40:01,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509019217818471,`659ksj0_t1wto6,`oGwbL5G2_jpjBICYtJZSMIAYOb2U,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
`2025-09-01 12:18:49,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509019303180498,`7mon2xc_t1w6mx,`oGwbL5IZEq-8Op4CvUTNodRKdOB0,`JSAPI,`SUCCESS,`OTHERS,`CNY,`7.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.04000,`0.54%,`7.00,`0.00,`
`2025-09-01 19:48:23,`wxc6ff511796ec714a,`1635060558,`1639331479,`,`4200002745202509019799193925,`7bfy22e_t1wrgf,`oGwbL5Ft8eJNyS_8cpbKAfJG6XuE,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`快递发往-陕西省延安市,`,`0.03000,`0.54%,`6.00,`0.00,`
